id,description,Saturados (g),Monoinsaturados (g),Poliinsaturados (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),22:0 (g),24:0 (g),14:1 (g),16:1 (g),18:1 (g),20:1 (g),18:2 n-6 (g),18:3 n-3 (g),20:4 (g),20:5 (g),22:5 (g),22:6 (g),18:1t (g),18:2t (g)
129,"Mandioca, cozida",0.1,0.1,0.1,,,0.07,Tr,,,,,,0.10,,0.05,0.01,,,,,,
130,"Mandioca, crua",0.1,0.1,Tr,,,0.06,Tr,Tr,Tr,Tr,,Tr,0.12,Tr,0.04,Tr,,,,,Tr,
131,"Mandioca, farofa, temperada",1.9,2.4,2.5,Tr,0.03,1.26,0.54,0.03,0.02,0.01,,0.04,2.38,0.02,2.29,0.19,,,,,0.49,0.14
132,"Mandioca, frita",1.7,2.8,6.2,,,1.20,0.38,0.03,0.05,0.02,,,2.73,0.05,5.58,0.57,,,,,,0.04
133,"Manjericão, cru",0.1,Tr,0.3,,,0.11,0.02,Tr,,,,0.02,0.01,,0.05,0.21,,,,,,
136,"Nhoque, batata, cozido",0.6,0.5,0.8,0.02,0.01,0.40,0.15,Tr,Tr,Tr,,0.01,0.47,Tr,0.72,0.05,Tr,,,,,
138,"Palmito, Juçara, em conserva",0.1,Tr,0.1,Tr,Tr,0.07,Tr,Tr,Tr,0.01,,,0.03,,0.09,0.01,,,,,,Tr
141,"Pão, de queijo, cru",3.4,3.0,4.1,0.08,0.29,2.00,0.74,0.03,0.03,,0.03,0.08,2.92, ,3.67,0.36,,,,,0.63,0.12
151,"Repolho, roxo, refogado",0.2,0.3,0.7,,,0.15,0.04,Tr,Tr,Tr,,,0.28,Tr,0.61,0.07,,,,,,Tr
153,"Salsa, crua",0.1,Tr,0.2,,,0.08,Tr,Tr,Tr,Tr,,Tr,0.02,,0.11,0.09,,,Tr,,,
154,"Seleta de legumes, enlatada",0.1,0.2,0.2,,,0.10,0.03,Tr,Tr,Tr,,,0.22,,0.20,0.01,,,,,Tr,Tr
155,"Serralha, crua",0.1,0.1,0.3,Tr,Tr,0.13,0.02,0.02,0.02,Tr,, ,0.04,,0.07,0.26,,,,,,
156,"Taioba, crua",0.2,0.1,0.4,Tr,Tr,0.18,0.04,0.02,Tr,0.01,,0.02,0.05,,0.12,0.25,,,,,,
159,"Tomate, molho industrializado",0.1,0.1,0.2,Tr,Tr,0.06,0.02,Tr,Tr,Tr,,Tr,0.09,Tr,0.17,0.02,,,,,Tr,Tr
163,"Abacate, cru",2.3,4.3,1.4,,0.01,2.20,0.10,0.02,,,,0.20,4.12,0.02,1.29,0.08,,,,,,
166,"Abiu, cru",0.3,0.1,0.1,,,0.30,0.03,,,,,,0.11,,0.10,0.02,,,,,,
167,"Açaí, polpa, com xarope de guaraná e glucose",0.7,1.9,0.3,,Tr,0.58,0.07,Tr,,,,0.07,1.88,Tr,0.30,0.02,,,,,,
168,"Açaí, polpa, congelada",0.7,2.0,0.4,,Tr,0.66,0.07,Tr,,,,0.08,1.93,,0.35,0.02,,,,,,
173,"Ameixa, em calda, enlatada, drenada ",0.1,Tr,0.1,,,0.07,0.02,0.01,,,,,0.03,0.01,0.07,0.01,,,,,,
174,"Atemóia, crua",0.1,Tr,0.1,,,0.09,0.03,Tr,Tr,Tr,,,0.01,,0.06,0.04,,,,,,
191,"Ciriguela, crua",0.2,Tr,0.1,,0.01,0.11,0.02,,Tr,Tr,,,0.02,,0.07,0.03,,,,,,
192,"Cupuaçu, cru",0.4,0.2,0.1,,Tr,0.37,0.04,Tr,Tr,Tr,,0.01,0.20,,0.03,0.09,,,,,,
193,"Cupuaçu, polpa, congelada",0.3,0.1,Tr,,Tr,0.26,0.03,Tr,Tr,Tr,,Tr,0.13,Tr,0.01,0.03,,,,,Tr,
