id,category,description,humidity (%),energy (kcal),energy (kJ),protein (g),lipids (g),cholesterol (mg),carbohydrate (g),fiber (g),Cinzas (g),Calcium (mg),Magnesium (mg),Magnesium  (mg),Phosphor (mg),Iron (mg),Sodium (mg),Potassium (mg),Copper (mg),Zinc (mg),Retinol (mcg),RE (mcg),RAE (mcg),Thiamine (mg),Riboflavin (mg),Pyridoxine (mg),Niacin (mg),vitamina-c (mg)
527,Alimentos preparados,"Baião de dois, arroz e feijão-de-corda",69.05,135.68,567.69,6.24,3.23,4.10,20.42,5.07,1.06,33.30,18.68,0.27,71.68,0.56,93.30,157.31,0.08,0.60,Tr,,,0.04,Tr,0.04,Tr,Tr
528,Alimentos preparados,Barreado,71.17,164.98,690.26,18.27,9.53,60.11,0.24,0.15,0.79,14.51,21.37,0.05,169.31,2.44,47.63,294.56,0.17,4.83,Tr,,,0.03,0.04,Tr,2.09,Tr
529,Alimentos preparados,"Bife à cavalo, com contra filé",54.21,291.23,1218.50,23.66,21.15,256.63,0.00,NA,1.12,25.98,19.49,0.02,215.82,2.10,82.87,272.23,0.06,3.21,36.80,,,0.05,0.10,Tr,2.92,
530,Alimentos preparados,Bolinho de arroz,41.50,273.51,1144.38,8.04,8.29,70.30,41.68,2.74,0.49,23.57,13.45,0.42,87.27,2.12,58.86,96.45,0.13,0.86,Tr,,,0.08,0.05,Tr,Tr,Tr
531,Alimentos preparados,Camarão à baiana,81.99,100.78,421.68,7.94,5.97,116.78,3.17,0.39,0.93,42.68,14.86,0.11,244.09,1.42,84.79,139.14,0.07,0.47,Tr,,,Tr,Tr,Tr,0.31,4.07
532,Alimentos preparados,"Charuto, de repolho",81.55,78.23,327.33,6.78,1.12,21.34,10.13,1.46,0.42,22.89,13.46,0.22,67.89,0.86,12.10,184.03,1.45,1.75,Tr,,,0.03,Tr,Tr,0.32,4.77
533,Alimentos preparados,"Cuscuz, de milho, cozido com sal",71.14,113.46,474.71,2.16,0.68,NA,25.28,2.05,0.75,1.54,2.72,0.02,23.18,0.17,247.67,10.85,Tr,0.20,Tr,,,Tr,Tr,0.06,Tr,Tr
534,Alimentos preparados,"Cuscuz, paulista",68.94,142.12,594.64,2.56,4.65,15.05,22.51,2.43,1.34,14.16,5.10,0.06,25.95,0.33,235.71,52.93,0.05,0.21,Tr,,,Tr,Tr,Tr,0.93,Tr
535,Alimentos preparados,"Cuxá, molho",80.99,80.09,335.10,5.64,3.59,58.39,5.74,3.02,4.03,105.48,33.58,0.23,111.13,0.94,1344.29,124.06,0.17,0.57,Tr,32.58,16.29,0.04,Tr,0.03,1.10,10.28
536,Alimentos preparados,Dobradinha,75.27,124.50,520.91,19.77,4.44,144.02,0.00,NA,0.29,11.34,8.25,0.11,57.12,1.01,28.77,57.58,0.06,2.72,Tr,,,Tr,Tr,Tr,4.27, 
537,Alimentos preparados,Estrogonofe de carne,70.13,173.14,724.42,15.03,10.80,66.22,2.98,,1.06,28.32,21.51,0.03,185.57,2.70,122.85,322.31,0.14,2.04,27.63,,,0.06,0.05,Tr,3.25,Tr
538,Alimentos preparados,Estrogonofe de frango,70.89,156.81,656.08,17.55,7.96,79.96,2.59,,1.00,26.05,24.76,0.03,195.16,1.52,99.46,307.09,0.12,0.58,28.22,,,0.07,0.04,0.03,3.37,Tr
539,Alimentos preparados,Feijão tropeiro mineiro,61.67,151.56,634.13,10.17,6.79,67.88,19.58,3.57,1.79,41.20,36.11,0.38,199.26,2.16,365.07,348.93,0.22,1.45,8.77,,,Tr,Tr,Tr,1.44,Tr
540,Alimentos preparados,Feijoada,71.80,116.93,489.25,8.67,6.48,21.96,11.64,5.09,1.41,32.38,31.85,0.24,105.46,1.35,278.22,303.49,0.15,0.83,Tr, , ,0.08,0.03,Tr,0.93,Tr
541,Alimentos preparados,"Frango, com açafrão",79.52,112.78,471.89,9.70,6.17,50.42,4.06,0.22,0.55,12.99,16.09,0.09,166.84,0.84,28.81,256.37,0.02,0.50,8.09,,,0.03,Tr,Tr,1.64,5.28
542,Alimentos preparados,"Macarrão, molho bolognesa",71.41,119.53,500.12,4.93,0.89,6.93,22.52,0.78,0.24,10.55,9.98,0.22,53.96,1.39,8.94,83.57,0.09,0.75,Tr,,,0.04,Tr,Tr,1.44,Tr
543,Alimentos preparados,Maniçoba,76.40,134.22,561.59,9.96,8.70,42.77,3.42,2.16,1.53,65.98,23.65,0.60,54.88,3.22,406.70,147.71,0.16,2.03,Tr,221.88,110.94,0.04,0.07,0.05,2.58,Tr
544,Alimentos preparados,Quibebe,81.11,86.35,361.29,8.56,2.67,NA,6.64,1.67,1.02,7.68,10.40,0.05,42.53,0.78,246.61,152.81,0.61,1.64,Tr,104.92,52.46,Tr,0.03,0.04,,Tr
545,Alimentos preparados,"Salada, de legumes, com maionese",82.04,96.10,402.10,1.05,7.04,7.20,8.92,2.22,0.95,12.13,8.71,0.10,22.27,0.23,228.43,141.29,0.04,0.16,Tr,282.75,141.38,0.04,Tr,0.04,Tr,Tr
546,Alimentos preparados,"Salada, de legumes, cozida no vapor",89.98,35.41,148.15,2.01,0.31,NA,7.09,2.51,0.61,32.90,18.58,0.24,44.79,0.44,2.51,244.30,0.17,0.30,NA,510.00,255.00,0.05,0.03,0.03,Tr,29.35
547,Alimentos preparados,"Salpicão, de frango",72.53,147.86,618.67,13.93,7.84,52.52,4.57,0.41,1.14,9.41,13.25,0.03,102.58,0.32,248.35,148.97,0.08,0.39,Tr,14.50,7.25,0.05,Tr,Tr,1.48,9.26
548,Alimentos preparados,Sarapatel,74.95,122.98,514.56,18.47,4.42,315.36,1.09,,1.06,12.23,12.80,0.10,163.50,7.18,215.62,198.76,1.48,1.77,1463.67,,,Tr,0.11,Tr,3.84,Tr
549,Alimentos preparados,Tabule,85.77,57.45,240.39,2.05,1.21,NA,10.58,2.08,0.39,18.85,17.98,0.37,35.47,0.55,1.19,187.63,0.12,0.58,NA,,,0.03,Tr,Tr,0.60,16.22
550,Alimentos preparados,Tacacá,85.19,46.89,196.18,6.96,0.36,70.56,3.39,0.21,4.10,44.82,29.90,0.12,89.17,0.95,1349.06,240.18,0.22,0.79,Tr,35.36,17.68,0.05,Tr,Tr,,Tr
551,Alimentos preparados,"Tapioca, com manteiga",24.90,347.83,1455.31,0.09,10.91,31.19,63.59,Tr,0.51,30.03,3.22,0.06,8.43,0.24,157.52,19.31,0.01,0.04,75.27,,,Tr,Tr,Tr,Tr,Tr
552,Alimentos preparados,"Tucupi, com pimenta-de-cheiro",91.88,27.18,113.74,2.06,0.28,NA,4.74,0.23,1.04,28.26,42.49,0.52,30.81,1.15,5.13,390.84,0.12,0.85,NA,50.58,25.29,Tr,Tr,0.05,Tr,46.40
553,Alimentos preparados,Vaca atolada,74.95,144.90,606.25,5.12,9.32,18.59,10.06,2.34,0.54,62.66,15.75,0.04,71.77,0.73,25.63,219.81,0.12,1.20,Tr,,,Tr,Tr,Tr,0.77,Tr
554,Alimentos preparados,Vatapá,58.36,254.89,1066.47,6.00,23.23,44.45,9.75,1.70,2.67,46.82,39.32,0.48,108.44,1.44,879.85,209.41,0.28,0.85,Tr,,,Tr,Tr,Tr,1.80,Tr
555,Alimentos preparados,Virado à paulista,48.59,306.95,1284.27,10.18,25.59,65.84,14.11,2.16,1.53,40.71,21.81,0.15,135.49,1.05,345.53,237.26,0.07,1.04,10.17,,,0.14,0.05,Tr,2.60,Tr
556,Alimentos preparados,Yakisoba,69.38,112.80,471.96,7.52,2.61,NA,18.25,1.06,2.25,13.95,13.34,0.15,83.03,0.62,793.76,158.57,0.06,0.68,NA,62.00,31.00,0.16,Tr,Tr,2.09,Tr
557,Leguminosas e derivados,"Amendoim, grão, cru",6.43,544.05,2276.32,27.19,43.85,NA,20.31,8.04,2.22,Tr,170.51,1.96,407.20,2.53,Tr,580.44,0.78,3.17,NA,,,0.10,0.03,0.76,10.18,Tr
558,Leguminosas e derivados,"Amendoim, torrado, salgado",1.69,605.78,2534.59,22.48,53.96,NA,18.70,7.76,3.17,39.43,159.34,1.70,260.76,1.33,375.73,495.67,0.68,2.12,NA,,,0.08,Tr,0.21,7.47,Tr
559,Leguminosas e derivados,"Ervilha, em vagem",76.84,88.09,366.97,7.45,0.47,NA,14.23,9.72,1.01,24.44,41.76,0.40,151.98,1.44,Tr,310.98,0.20,1.23,NA,,,0.27,0.07,0.06,1.16,12.44
560,Leguminosas e derivados,"Ervilha, enlatada, drenada",80.14,73.84,308.97,4.60,0.38,NA,13.44,5.08,1.44,22.22,23.19,0.46,78.51,1.39,372.11,147.12,0.14,0.88,NA,9.17,4.58,0.07,0.03,Tr,Tr, 
561,Leguminosas e derivados,"Feijão, carioca, cozido",80.35,76.42,319.76,4.78,0.54,NA,13.59,8.51,0.74,26.59,42.34,0.28,86.85,1.29,1.76,254.62,0.19,0.70,NA,,,0.04,Tr,Tr,Tr,Tr
562,Leguminosas e derivados,"Feijão, carioca, cru",14.00,329.03,1376.65,19.98,1.26,NA,61.22,18.42,3.54,122.57,209.95,1.02,385.38,7.99,Tr,1352.46,0.79,2.90,NA,,,0.17,Tr,0.65,4.02, 
563,Leguminosas e derivados,"Feijão, fradinho, cozido",80.01,78.01,326.39,5.09,0.64,NA,13.50,7.47,0.75,17.45,38.12,0.53,84.59,1.06,0.98,252.98,0.10,1.12,NA,,,0.12,Tr,Tr,Tr,Tr
564,Leguminosas e derivados,"Feijão, fradinho, cru",12.70,339.16,1419.07,20.21,2.37,NA,61.24,23.59,3.49,77.52,178.39,1.43,354.52,5.13,10.31,1082.74,0.70,3.88,NA,,,0.14,0.03,0.26,Tr,Tr
565,Leguminosas e derivados,"Feijão, jalo, cozido",75.84,92.74,388.02,6.14,0.51,NA,16.50,13.87,1.01,29.40,44.10,0.32,121.01,1.92,0.52,347.72,0.24,1.01,NA,,,0.13,Tr,0.04,Tr,Tr
566,Leguminosas e derivados,"Feijão, jalo, cru",13.53,327.91,1371.96,20.10,0.95,NA,61.48,30.32,3.94,97.97,169.90,0.99,427.19,7.03,24.58,1275.95,0.95,3.01,NA,,,0.10,Tr,0.12,Tr,Tr
567,Leguminosas e derivados,"Feijão, preto, cozido",80.22,77.03,322.28,4.48,0.54,NA,14.01,8.40,0.76,29.00,40.37,0.37,88.03,1.47,1.85,256.37,0.20,0.72,NA,,,0.06,Tr,0.03,Tr,Tr
568,Leguminosas e derivados,"Feijão, preto, cru",14.88,323.57,1353.80,21.34,1.24,NA,58.75,21.83,3.79,110.90,188.11,1.32,471.16,6.46,Tr,1415.68,0.83,2.85,NA,,,0.12,Tr,0.59,4.60, 
569,Leguminosas e derivados,"Feijão, rajado, cozido",77.86,84.70,354.39,5.54,0.40,NA,15.27,9.32,0.93,29.19,41.71,0.29,112.93,1.36,0.69,314.58,0.23,0.92,NA,,,0.09,Tr,0.04,Tr,Tr
570,Leguminosas e derivados,"Feijão, rajado, cru",14.96,325.84,1363.33,17.27,1.17,NA,62.93,24.01,3.67,111.43,169.90,1.17,334.79,18.58,13.65,1134.54,0.84,2.60,NA,,,0.07,0.03,0.07,Tr,Tr
571,Leguminosas e derivados,"Feijão, rosinha, cozido",82.58,67.87,283.95,4.54,0.48,NA,11.82,4.76,0.58,19.24,42.96,0.46,89.51,1.18,2.08,240.57,0.09,1.31,NA,,,Tr,Tr,Tr,3.69,Tr
572,Leguminosas e derivados,"Feijão, rosinha, cru",11.95,336.96,1409.85,20.92,1.33,NA,62.22,20.63,3.58,67.66,184.50,1.08,393.59,5.32,24.11,1108.66,0.60,3.98,NA,,,0.16,0.03,Tr,3.92,Tr
573,Leguminosas e derivados,"Feijão, roxo, cozido",79.99,76.89,321.72,5.72,0.54,NA,12.91,11.51,0.85,22.53,34.39,0.32,106.33,1.41,1.46,268.09,0.22,1.01,NA,,,0.15,Tr,0.03,Tr,Tr
574,Leguminosas e derivados,"Feijão, roxo, cru",12.64,331.41,1386.64,22.17,1.24,NA,59.99,33.84,3.97,120.46,161.94,1.34,393.70,6.92,9.76,1221.40,1.04,3.29,NA,,,0.26,Tr,0.08,Tr,Tr
575,Leguminosas e derivados,"Grão-de-bico, cru",12.29,354.70,1484.08,21.23,5.43,NA,57.88,12.36,3.17,114.36,146.39,3.16,342.34,5.38,5.19,1115.70,0.67,3.19,NA,,,0.52,Tr,0.75,Tr,Tr
576,Leguminosas e derivados,"Guandu, cru",11.45,344.13,1439.86,18.96,2.13,NA,64.00,21.31,3.45,129.34,166.00,1.02,269.19,1.94,1.62,1214.80,0.57,2.02,NA,,,1.06,Tr,0.07,2.69,1.47
577,Leguminosas e derivados,"Lentilha, cozida",76.25,92.64,387.60,6.31,0.52,NA,16.30,7.86,0.61,16.10,21.65,0.29,103.74,1.48,1.18,219.90,0.17,1.13,NA,,,0.03,Tr,Tr,Tr,Tr
578,Leguminosas e derivados,"Lentilha, crua",11.47,339.14,1418.97,23.15,0.77,NA,62.00,16.94,2.61,53.52,93.53,1.08,367.74,7.05,Tr,886.88,0.83,3.49,NA, , ,0.11,Tr,0.42,5.07, 
579,Leguminosas e derivados,"Paçoca, amendoim",1.80,486.93,2037.30,16.00,26.08,NA,52.38,7.32,3.75,22.48,100.67,1.06,198.50,1.13,166.84,347.60,0.38,1.56,NA,,,Tr,Tr,1.20,Tr,Tr
580,Leguminosas e derivados,"Pé-de-moleque, amendoim",2.91,503.19,2105.35,13.16,28.05,NA,54.73,3.39,1.15,27.11,107.90,1.09,170.71,1.26,16.35,355.41,0.43,1.43,NA,,,0.04,0.03,0.11,5.94,Tr
581,Leguminosas e derivados,"Soja, farinha",5.75,403.96,1690.15,36.03,14.63,NA,38.44,20.18,5.15,206.02,241.90,2.87,539.25,13.06,5.75,1922.39,1.29,4.54,NA,,,0.20,0.04,0.03,Tr,Tr
582,Leguminosas e derivados,"Soja, extrato solúvel, natural, fluido",91.28,39.10,163.61,2.38,1.61,NA,4.28,0.37,0.45,16.52,15.45,0.15,52.89,0.43,56.53,121.04,0.08,0.28,NA,,,Tr,Tr,Tr,Tr,Tr
583,Leguminosas e derivados,"Soja, extrato solúvel, pó",4.47,458.90,1920.02,35.69,26.18,NA,28.48,7.31,5.18,359.04,215.62,2.68,646.55,7.01,83.47,1606.80,1.19,5.84,NA,,,Tr,0.11,0.35,Tr,9.21
584,Leguminosas e derivados,"Soja, queijo (tofu)",86.65,64.49,269.81,6.55,3.95,NA,2.13,0.75,0.72,80.76,38.20,0.33,129.52,1.43,1.21,181.69,0.18,0.89,NA,,,0.04,Tr,0.03,Tr,Tr
585,Leguminosas e derivados,"Tremoço, cru",9.69,381.28,1595.27,33.58,10.34,NA,43.79,32.31,2.60,176.75,121.43,*,264.68,2.79,3.29,708.32,0.79,4.24,NA,,,0.24,Tr,0.07,Tr,24.97
586,Leguminosas e derivados,"Tremoço, em conserva",67.68,120.64,504.77,11.11,3.78,NA,12.39,14.44,5.03,15.54,3.52,*,39.72,0.34,1808.76,5.20,0.27,0.64,NA,,,Tr,Tr,Tr,Tr,Tr
587,Nozes e sementes,"Amêndoa, torrada, salgada",3.11,580.75,2429.85,18.55,47.32,NA,29.55,11.64,1.47,236.70,222.10,1.95,493.06,3.06,278.52,639.60,0.93,2.58,NA,,,0.29,0.16,Tr,Tr,Tr
588,Nozes e sementes,"Castanha-de-caju, torrada, salgada",3.46,570.17,2385.58,18.51,46.28,NA,29.13,3.66,2.61,32.59,236.61,1.59,594.22,5.22,125.00,671.46,1.92,4.72,NA,,,0.29,0.05,0.39,Tr,Tr
589,Nozes e sementes,"Castanha-do-Brasil, crua",3.52,642.96,2690.16,14.54,63.46,NA,15.08,7.93,3.40,146.34,365.12,1.10,853.28,2.31,0.65,650.99,1.79,4.22,NA,,,0.30,Tr,0.44,Tr,Tr
590,Nozes e sementes,"Coco, cru",42.96,406.49,1700.74,3.69,41.98,NA,10.40,5.38,0.97,6.48,51.46,1.00,117.54,1.76,15.32,354.15,0.45,0.94,NA,,,Tr,Tr,0.03,Tr,2.49
591,Nozes e sementes,"Coco,  verde, cru",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,NA,,,*,*,*,*,*
592,Nozes e sementes,"Farinha, de mesocarpo de babaçu, crua",15.82,328.77,1375.58,1.41,0.20,NA,79.17,17.86,3.40,60.95,39.35,0.38,25.56,18.33,12.46,362.07,0.22,0.34,NA,,,Tr,Tr,Tr,2.58,Tr
593,Nozes e sementes,"Gergelim, semente",3.86,583.55,2441.56,21.16,50.43,NA,21.62,11.87,2.93,825.45,360.69,2.67,740.71,5.45,2.58,546.29,1.51,5.24,NA,,,0.94,Tr,0.13,5.92,Tr
594,Nozes e sementes,"Linhaça, semente",6.68,495.10,2071.53,14.08,32.25,NA,43.31,33.50,3.67,211.50,346.92,2.81,615.18,4.70,8.67,869.29,1.09,4.39,NA,,,0.12,Tr,0.13,Tr,Tr
595,Nozes e sementes,"Pinhão, cozido",50.51,174.37,729.56,2.98,0.75,NA,43.92,15.60,1.84,15.77,52.97,0.41,165.84,0.76,0.86,727.01,0.18,0.83,NA,,,Tr,Tr,Tr,Tr,27.69
596,Nozes e sementes,"Pupunha, cozida",54.46,218.53,914.35,2.52,12.76,NA,29.57,4.25,0.69,27.59,25.29,0.13,48.77,0.52,0.91,303.36,0.28,0.29,NA,875.44,437.72,Tr,0.09,0.03,Tr,2.18
597,Nozes e sementes,"Noz, crua",6.24,620.06,2594.33,13.97,59.36,NA,18.36,7.25,2.06,105.31,152.89,4.05,396.28,2.04,4.57,533.26,0.75,2.06,NA,,,0.38,Tr,0.13,1.08,Tr
