"id","description","category","humidity_percents","energy_kcal","energy_kj","protein_g","lipid_g","cholesterol_mg","carbohydrate_g","fiber_g","ashes_g","calcium_mg","magnesium_mg","manganese_mg","phosphorus_mg","iron_mg","sodium_mg","potassium_mg","copper_mg","zinc_mg","retinol_mcg","re_mcg","rae_mcg","thiamine_mg","riboflavin_mg","pyridoxine_mg","niacin_mg","vitaminC_mg","saturated_g","monounsaturated_g","polyunsaturated_g","12:0_g","14:0_g","16:0_g","18:0_g","20:0_g","22:0_g","24:0_g","14:1_g","16:1_g","18:1_g","20:1_g","18:2 n-6_g","18:3 n-3_g","20:4_g","20:5_g","22:5_g","22:6_g","18:1t_g","18:2t_g","tryptophan_g","threonine_g","isoleucine_g","leucine_g","lysine_g","methionine_g","cystine_g","phenylalanine_g","tyrosine_g","valine_g","arginine_g","histidine_g","alanine_g","aspartic_g","glutamic_g","glycine_g","proline_g","serine_g"
11,"Biscoito, doce, wafer, recheado de chocolate","Cereais e derivados",1.17,502.456857971014,2102.27949375072,5.56452173913044,24.6733333333333,"Tr",67.5354782608696,1.80333333333333,1.05666666666667,23.3433333333333,47.8533333333333,0.435,124.203333333333,2.44333333333333,137.24,240.453333333333,0.263333333333333,0.873333333333333,"Tr","","",0.366666666666667,0.03,0.296666666666667,1.12,"Tr",6.5,8.1,1.9,"",0.02,3.21,3.02,0.09,0.12,0.02,0.02,0.02,8.07,0.02,1.84,0.09,"","","","",6.63,0.42,"","","","","","","","","","","","","","","","","",""
12,"Biscoito, doce, wafer, recheado de morango","Cereais e derivados",1.17333333333333,513.446182608696,2148.25882803478,4.51704347826087,26.4,1.26733333333333,67.3529565217391,0.82,0.556666666666667,13.7066666666667,18.54,0.279666666666667,73.1633333333333,1.09333333333333,119.9,74.8433333333333,0.083333333333333,0.513333333333333,"Tr","","",0.356666666666667,"Tr",0.94,0.373333333333333,"",6.7,8.9,1.8,"",0.03,3.32,3.1,0.1,0.1,0.03,"",0.03,8.83,0.03,1.77,0.08,"","","","",7.24,0.56,"","","","","","","","","","","","","","","","","",""
13,"Biscoito, salgado, cream cracker","Cereais e derivados",4.05666666666667,431.73228115942,1806.36786437101,10.0551304347826,14.4366666666667,"NA",68.7315362318841,2.51,2.72,20.0033333333333,39.7466666666667,0.689666666666667,148.26,2.2,854.356666666667,180.613333333333,0.18,1.13666666666667,"NA","","",0.71,0.13,0.17,7.13666666666667,"",4.4,4.6,2.9,0.01,0.07,2.99,1.24,0.04,0.03,0.01,"",0.06,4.52,0.03,2.79,0.01,"","","","",1.57,0.23,"","","","","","","","","","","","","","","","","",""
14,"Bolo, mistura para","Cereais e derivados",1,418.633333333333,1751.56186666667,6.15942028985507,6.12666666666667,"Tr",84.7139130434783,1.70333333333333,2,58.879,27.922,0.462666666666667,332.657666666667,1.21066666666667,462.88,75.363,0.153333333333333,0.582666666666667,"NA","","",0.176666666666667,"Tr",1.50333333333333,1.51666666666667,"Tr",2.095,1.89016666666667,0.813,0.01,0.026833333333333,1.02766666666667,0.965833333333333,0.021833333333333,0.021833333333333,0.005,"",0.005,1.88016666666667,0.005,0.778166666666667,0.034833333333333,"","","","",0.931,0.152833333333333,"","","","","","","","","","","","","","","","","",""
15,"Bolo, pronto, aipim","Cereais e derivados",34.1336666666667,323.851666666667,1354.99537333333,4.41666666666667,12.7476666666667,73.204,47.864,0.690666666666667,0.838,85.0223333333333,10.344,0.107,122.194,0.489,111.008333333333,134.822666666667,0.051666666666667,0.415666666666667,"Tr","","",0.13,0.07,"Tr","Tr","Tr",5,3.9,1.1,0.98,0.48,1.88,1.28,0.04,0.04,0.01,"",0.06,3.8,0.02,1,0.06,0.04,"","","",1.99,"","","","","","","","","","","","","","","","","","",""
16,"Bolo, pronto, chocolate","Cereais e derivados",19.2763333333333,410.013666666667,1715.49718133333,6.22291666666667,18.4723333333333,76.7976666666667,54.71775,1.43,1.31066666666667,74.5846666666667,27.6866666666667,0.379333333333333,196.976666666667,2.13233333333333,283.3,211.763333333333,0.046333333333333,0.713666666666667,"Tr","","",0.133333333333333,0.093333333333333,0.05,"Tr","Tr",5.5,6.2,3,"",0.06,2.97,2.33,0.07,0.06,0.02,"",0.06,6.15,0.04,2.83,0.04,0.02,"","","",2.49,0.42,"","","","","","","","","","","","","","","","","",""
17,"Bolo, pronto, coco","Cereais e derivados",29.3203333333333,333.437666666667,1395.10319733333,5.66666666666667,11.2963333333333,63.2076666666667,52.276,1.055,1.44066666666667,57.1053333333333,16.2516666666667,0.399,303.396333333333,0.848,190.338666666667,143.294,0.089,0.675666666666667,"Tr","Tr","Tr",0.153333333333333,0.056666666666667,"Tr","Tr","Tr",4.9,3,1.8,1,0.48,1.82,1.24,0.03,0.03,0.01,"",0.05,2.92,0.03,1.69,0.06,0.02,"","","",0.89,0.19,"","","","","","","","","","","","","","","","","",""
18,"Bolo, pronto, milho","Cereais e derivados",36.6883333333333,311.387,1302.843208,4.80416666666667,12.415,81.6873333333333,45.1088333333333,0.71,0.983666666666667,82.5846666666667,10.249,0.107666666666667,128.196333333333,0.65,133.811,118.427333333333,0.04,0.435,56.8866666666667,"","",0.11,0.05,"Tr","Tr","Tr",4.5,3.9,1.5,0.79,0.37,1.79,1.19,0.04,0.05,0.01,"",0.06,3.79,0.03,1.34,0.08,0.04,"","","",1.82,0.17,"","","","","","","","","","","","","","","","","",""
19,"Canjica, branca, crua","Cereais e derivados",13.557,357.60259,1496.20923656,7.2,0.971,"NA",78.061,5.49933333333333,0.211,1.96466666666667,12.325,0.086333333333333,48.498,0.321666666666667,0.789666666666667,92.9473333333333,0.045,0.362333333333333,"NA","","","Tr","Tr","Tr","Tr","Tr",0.3,0.2,0.4,"","",0.27,0.03,"Tr","","Tr","","Tr",0.24,"Tr",0.38,0.01,"","","","","","","","","","","","","","","","","","","","","","","",""
20,"Canjica, com leite integral","Cereais e derivados",72.494,112.456777220465,470.519155890427,2.36060004234314,1.24433333333333,1.35066666666667,23.6277332909902,1.21666666666667,0.273333333333333,42.5626666666667,5.83833333333333,0.02,40.5833333333333,0.056,27.5866666666667,69.809,0.025666666666667,0.278,"Tr","","","Tr",0.04,"Tr","Tr","Tr",0.603666666666667,0.365666666666667,0.149666666666667,0.012333333333333,0.083,0.374,0.146666666666667,"Tr","","","",0.019,0.346666666666667,"",0.149666666666667,"Tr","","","","",0.024,"","","","","","","","","","","","","","","","","","",""
21,"Cereais, milho, flocos, com sal","Cereais e derivados",9.29333333333334,369.59975,1546.405354,7.29166666666667,1.60333333333333,"NA",80.835,5.29333333333333,0.976666666666667,1.81366666666667,20.096,"Tr",90.7703333333333,0.524333333333333,271.737666666667,68.66,"Tr",0.611,"NA","","",0.12,"Tr",0.06,"Tr","Tr",0.5,0.6,0.9,"","Tr",0.39,0.05,0.01,"Tr",0.01,"","Tr",0.6,0.01,0.89,0.03,"","","","","","","","","","","","","","","","","","","","","","","",""
22,"Cereais, milho, flocos, sem sal","Cereais e derivados",11.2233333333333,363.338316666667,1520.20751693333,6.875,1.18333333333333,"NA",80.4483333333333,1.83666666666667,0.27,1.97466666666667,16.5486666666667,"Tr",58.3596666666667,1.69333333333333,30.9703333333333,28.6973333333333,0.240333333333333,0.325666666666667,"NA","","",0.05,"Tr",0.04,"Tr","Tr",0.3,0.3,0.6,"","Tr",0.27,0.03,0.01,"Tr","Tr","","Tr",0.33,"Tr",0.6,0.02,"","","","","","","","","","","","","","","","","","","","","","","",""
23,"Cereais, mingau, milho, infantil","Cereais e derivados",4.70333333333333,394.42752173913,1650.28475095652,6.43115942028986,1.09333333333333,"NA",87.2655072463768,3.21333333333333,0.506666666666667,218.806666666667,16.03,0.106333333333333,169.163333333333,3.03,399.403333333333,82.0166666666667,0.043333333333333,0.363333333333333,21.4166666666667,"","",3.72333333333333,0.466666666666667,5.07666666666667,24.1633333333333,109.366666666667,0.3,0.3,0.5,"","Tr",0.26,0.03,"Tr","Tr","","","",0.28,"Tr",0.45,0.01,"","","","","Tr","Tr","","","","","","","","","","","","","","","","","",""
24,"Cereais, mistura para vitamina, trigo, cevada e aveia","Cereais e derivados",4.36666666666667,381.133333333333,1594.66186666667,8.89583333333333,2.12,"NA",81.6175,4.98333333333333,3,584.251333333333,72.268,2.284,515.036,12.6413333333333,1163.257,244.361,0.206333333333333,2.02233333333333,"Tr","","",0.76,0.876666666666667,1.48666666666667,7.45666666666667,13.1066666666667,0.5,0.4,1,"","Tr",0.43,0.03,"Tr","Tr","Tr","","Tr",0.34,0.02,0.93,0.06,"","","","","",0.01,"","","","","","","","","","","","","","","","","",""
25,"Cereal matinal, milho","Cereais e derivados",5.52666666666667,365.354163768116,1528.6418212058,7.15579710144928,0.956666666666667,"NA",83.8242028985507,4.11666666666667,2.53666666666667,142.923333333333,10.9333333333333,0.059,100.8,3.05,654.543333333333,83.0866666666667,0.06,7.63,"NA",30.9166666666667,15.4583333333333,0.76,1.02,2.24666666666667,11.04,17.2933333333333,0.356666666666667,0.319666666666667,0.328666666666667,"","",0.318,0.038666666666667,"Tr","Tr","Tr","","Tr",0.319666666666667,"",0.313333333333333,"Tr","","Tr","","","Tr","","","","","","","","","","","","","","","","","","",""
26,"Cereal matinal, milho, açúcar","Cereais e derivados",4.26666666666667,376.555253623188,1575.50718115942,4.74275362318841,0.666666666666667,"NA",88.8405797101449,2.10666666666667,1.48333333333333,56.4233333333333,7.94,0.134333333333333,43.18,3.90333333333333,405.313333333333,51.5966666666667,0.04,8.48,"NA",30.9166666666667,15.4583333333333,0.726666666666667,1.11,0.786666666666667,10.1333333333333,14.55,0.23,0.286333333333333,0.329,"","",0.201333333333333,0.028666666666667,"Tr","Tr","Tr","","Tr",0.286333333333333,"",0.329,"Tr","","Tr","","","Tr","","","","","","","","","","","","","","","","","","",""
