		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
Cereais e derivados																								
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
32	Farinha, de centeio, integral	0.3	0.3	0.8		Tr	0.31	0.02	Tr	Tr		32		Tr	0.26	0.01	0.73							Tr
33	Farinha, de milho, amarela	0.4	0.4	0.6	Tr	Tr	0.3	0.04	0.01			33		Tr	0.38	Tr	0.63	0.02						
34	Farinha, de rosca	0.6	0.4	0.8	0.01	0.02	0.44	0.07	Tr			34		0.01	0.37	0.01	0.74	0.05					0.02	0.01
35	Farinha, de trigo	0.31	0.155	0.445		Tr	0.296	0.014	Tr	Tr	Tr	35		Tr	0.1346666667		0.431	0.014		Tr	Tr			Tr
36	Farinha, láctea, de cereais	3.3	1.4	0.6	0.12	0.5	1.73	0.58	0.01	0.01		36	0.03	0.11	1.2		0.59	0.03					0.13	0.02
37	Lasanha, massa fresca, cozida	0.6	0.4	0.1			0.48	0.1				37		0.02	0.4	Tr	0.1							
38	Lasanha, massa fresca, crua	0.5	0.4	0.4			0.39	0.08				38		0.01	0.39	Tr	0.38	0.01						
41	Macarrão, trigo, cru, com ovos	0.5353333333	0.3776666667	0.7566666667			0.4646666667	0.07066666667	Tr	Tr	Tr	41		Tr	0.3776666667	Tr	0.7303333333	0.02633333333						Tr
43	Milho, fubá, cru	0.4303333333	0.892	1.317			0.346	0.06833333333	0.016	Tr	Tr	43		Tr	0.892	Tr	1.289333333	0.02766666667			Tr			
44	Milho, verde, cru	0.2	0.2	0.6			0.16	0.01	Tr	Tr	Tr	44		Tr	0.23	Tr	0.53	0.02						
45	Milho, verde, enlatado, drenado	0.6	0.8	0.9			0.49	0.06	0.01			45		Tr	0.78	Tr	0.88	0.03						
46	Mingau tradicional, pó	0.1	Tr	0.1	Tr		0.12	0.01				46			0.05		0.13	0.01						
47	Pamonha, barra para cozimento, pré-cozida	0.5	0.7	1.4		0.01	0.37	0.12	0.01	0.01	0.01	47		 	0.65	0.02	1.32	0.09					0.07	0.04
48	Pão, aveia, forma	1.1	1	1.6	Tr	0.01	0.62	0.4	0.01	0.01		48		0.01	0.94	0.02	1.06	0.59					0.11	0.01
49	Pão, de soja	0.7	0.6	1.6		0.01	0.52	0.16	0.01	0.01		49		0.01	0.62	0.01	1.41	0.14					0.01	
50	Pão, glúten, forma	0.5	0.6	0.7		Tr	0.39	0.08	0.01	0.01		50		0.01	0.56	0.01	0.69	0.04					0.11	0.05
51	Pão, milho, forma	0.6	0.6	1	0.01	0.01	0.47	0.11	0.01	0.01		51		0.01	0.62	0.01	0.98	0.03					0.07	
52	Pão, trigo, forma, integral	0.7	0.8	1.1	Tr	0.01	0.5	0.19	0.01	0.01		52		0.02	0.74	0.01	0.98	0.08					0.21	0.07
53	Pão, trigo, francês	1	0.9	0.7	Tr	0.01	0.65	0.29	0.01	0.01		53		Tr	0.85	0.01	0.7	0.04					0.35	0.02
